Airport,colYear,colMonth,avg(ArrDelay)
"Lehigh Valley International",1988,5,73.0000
"Lehigh Valley International",1988,11,26.0000
"Lehigh Valley International",1990,1,-4.0000
"Lehigh Valley International",1990,12,-5.0000
"Lehigh Valley International",1991,7,10.0000
"Lehigh Valley International",1992,6,-5.0000
"Lehigh Valley International",2005,1,-18.0000
"Lehigh Valley International",2006,1,60.0000
"Albuquerque International",1987,10,10.0000
"Albuquerque International",1989,1,7.0000
"Albuquerque International",1990,4,-3.0000
"Albuquerque International",1991,1,6.0000
"Albuquerque International",1993,11,3.0000
"Albuquerque International",1994,1,12.0000
"Albuquerque International",1995,1,-8.0000
"Albuquerque International",1995,7,-1.0000
"Albuquerque International",1995,8,7.0000
"Albuquerque International",1995,9,-2.0000
"Albuquerque International",1996,1,-1.0000
"Albuquerque International",1996,7,0.0000
"Albuquerque International",1997,9,-8.0000
"Albuquerque International",1997,10,12.0000
"Albuquerque International",1997,11,-11.0000
"Albuquerque International",1997,12,14.0000
"Albuquerque International",1998,1,-5.0000
"Albuquerque International",1998,3,9.0000
"Albuquerque International",1998,8,-2.0000
"Albuquerque International",1999,4,-2.0000
"Albuquerque International",1999,10,3.0000
"Albuquerque International",2002,6,89.0000
"Albuquerque International",2002,7,-12.0000
"Albuquerque International",2002,8,35.0000
"Albuquerque International",2002,9,-6.0000
"Albuquerque International",2003,2,-27.0000
"Albuquerque International",2003,8,-1.0000
"Albuquerque International",2004,6,8.0000
"Albuquerque International",2004,9,-3.0000
"Albuquerque International",2005,7,9.0000
"Albuquerque International",2006,1,0.0000
"Albuquerque International",2006,6,16.5000
"Albuquerque International",2006,7,-1.0000
"Albuquerque International",2007,1,-10.0000
"Southwest Georgia Regional",2006,1,-8.0000
"Southwest Georgia Regional",2006,3,17.0000
"Bush ",1988,3,6.0000
"Bush ",1988,12,57.0000
"Bush ",2003,9,-6.0000
"Albany Cty",1988,3,-6.0000
"Albany Cty",1992,12,-18.0000
"Albany Cty",1993,10,0.0000
"Albany Cty",1994,10,-11.0000
"Albany Cty",2003,3,-4.0000
"Albany Cty",2004,10,1.0000
"Albany Cty",2007,6,5.0000
"Albany Cty",2008,12,15.0000
"Amarillo International",1987,11,-2.0000
"Amarillo International",1988,6,4.0000
"Amarillo International",1989,11,-2.0000
"Amarillo International",2000,3,5.0000
"Ted Stevens Anchorage International",1988,10,-2.0000
"Ted Stevens Anchorage International",1992,5,12.0000
"Ted Stevens Anchorage International",1995,10,-8.0000
"Ted Stevens Anchorage International",1996,11,10.0000
"Ted Stevens Anchorage International",1999,9,2.0000
"Ted Stevens Anchorage International",1999,10,-8.0000
"Ted Stevens Anchorage International",2000,1,1.0000
"Ted Stevens Anchorage International",2000,7,3.0000
"Ted Stevens Anchorage International",2000,9,50.0000
"Ted Stevens Anchorage International",2004,3,24.0000
"Ted Stevens Anchorage International",2006,5,-2.0000
"Ted Stevens Anchorage International",2007,4,-21.0000
"Ted Stevens Anchorage International",2007,7,-7.0000
"Ted Stevens Anchorage International",2008,8,-28.0000
"Aspen-Pitkin Co/Sardy ",2008,3,7.0000
"William B Hartsfield-Atlanta Intl",1987,10,18.0000
"William B Hartsfield-Atlanta Intl",1987,11,-2.5000
"William B Hartsfield-Atlanta Intl",1988,1,23.0000
"William B Hartsfield-Atlanta Intl",1988,2,-3.0000
"William B Hartsfield-Atlanta Intl",1988,3,12.5000
"William B Hartsfield-Atlanta Intl",1988,6,-13.0000
"William B Hartsfield-Atlanta Intl",1988,8,-9.0000
"William B Hartsfield-Atlanta Intl",1988,9,1.5000
"William B Hartsfield-Atlanta Intl",1988,12,0.0000
"William B Hartsfield-Atlanta Intl",1989,1,20.0000
"William B Hartsfield-Atlanta Intl",1989,2,-2.0000
"William B Hartsfield-Atlanta Intl",1989,7,72.0000
"William B Hartsfield-Atlanta Intl",1989,9,-5.0000
"William B Hartsfield-Atlanta Intl",1989,11,11.0000
"William B Hartsfield-Atlanta Intl",1989,12,54.0000
"William B Hartsfield-Atlanta Intl",1990,3,44.0000
"William B Hartsfield-Atlanta Intl",1990,4,-9.0000
"William B Hartsfield-Atlanta Intl",1990,6,6.5000
"William B Hartsfield-Atlanta Intl",1990,7,-5.0000
"William B Hartsfield-Atlanta Intl",1990,10,20.0000
"William B Hartsfield-Atlanta Intl",1990,11,6.0000
"William B Hartsfield-Atlanta Intl",1990,12,32.0000
"William B Hartsfield-Atlanta Intl",1991,1,-3.0000
"William B Hartsfield-Atlanta Intl",1991,2,-11.0000
"William B Hartsfield-Atlanta Intl",1991,4,-3.0000
"William B Hartsfield-Atlanta Intl",1991,5,2.0000
"William B Hartsfield-Atlanta Intl",1991,8,1.0000
"William B Hartsfield-Atlanta Intl",1991,9,8.0000
"William B Hartsfield-Atlanta Intl",1991,10,13.5000
"William B Hartsfield-Atlanta Intl",1992,2,22.5000
"William B Hartsfield-Atlanta Intl",1992,4,-4.0000
"William B Hartsfield-Atlanta Intl",1992,5,-2.0000
"William B Hartsfield-Atlanta Intl",1992,7,-7.0000
"William B Hartsfield-Atlanta Intl",1992,8,15.0000
"William B Hartsfield-Atlanta Intl",1992,9,-5.0000
"William B Hartsfield-Atlanta Intl",1992,11,-14.0000
"William B Hartsfield-Atlanta Intl",1992,12,-1.0000
"William B Hartsfield-Atlanta Intl",1993,4,6.0000
"William B Hartsfield-Atlanta Intl",1993,6,-4.0000
"William B Hartsfield-Atlanta Intl",1993,8,5.0000
"William B Hartsfield-Atlanta Intl",1993,10,-2.0000
"William B Hartsfield-Atlanta Intl",1993,11,-8.0000
"William B Hartsfield-Atlanta Intl",1993,12,9.0000
"William B Hartsfield-Atlanta Intl",1994,1,8.0000
"William B Hartsfield-Atlanta Intl",1994,3,37.0000
"William B Hartsfield-Atlanta Intl",1994,6,17.0000
"William B Hartsfield-Atlanta Intl",1994,7,31.0000
"William B Hartsfield-Atlanta Intl",1994,8,5.3333
"William B Hartsfield-Atlanta Intl",1994,9,3.0000
"William B Hartsfield-Atlanta Intl",1994,10,1.0000
"William B Hartsfield-Atlanta Intl",1994,11,-4.0000
"William B Hartsfield-Atlanta Intl",1994,12,23.0000
"William B Hartsfield-Atlanta Intl",1995,3,8.0000
"William B Hartsfield-Atlanta Intl",1995,4,-11.0000
"William B Hartsfield-Atlanta Intl",1995,5,-1.0000
"William B Hartsfield-Atlanta Intl",1995,8,6.5000
"William B Hartsfield-Atlanta Intl",1995,10,21.0000
"William B Hartsfield-Atlanta Intl",1996,1,15.0000
"William B Hartsfield-Atlanta Intl",1996,5,-10.0000
"William B Hartsfield-Atlanta Intl",1996,6,25.0000
"William B Hartsfield-Atlanta Intl",1996,10,7.0000
"William B Hartsfield-Atlanta Intl",1996,11,4.0000
"William B Hartsfield-Atlanta Intl",1997,1,2.0000
"William B Hartsfield-Atlanta Intl",1997,2,-9.0000
"William B Hartsfield-Atlanta Intl",1997,3,-7.0000
"William B Hartsfield-Atlanta Intl",1997,4,9.0000
"William B Hartsfield-Atlanta Intl",1997,5,7.0000
"William B Hartsfield-Atlanta Intl",1997,7,11.0000
"William B Hartsfield-Atlanta Intl",1997,10,-24.0000
"William B Hartsfield-Atlanta Intl",1998,5,-11.0000
"William B Hartsfield-Atlanta Intl",1998,9,-14.0000
"William B Hartsfield-Atlanta Intl",1999,1,5.6667
"William B Hartsfield-Atlanta Intl",1999,2,2.7500
"William B Hartsfield-Atlanta Intl",1999,3,0.0000
"William B Hartsfield-Atlanta Intl",1999,5,29.5000
"William B Hartsfield-Atlanta Intl",1999,6,19.5000
"William B Hartsfield-Atlanta Intl",1999,8,11.5000
"William B Hartsfield-Atlanta Intl",1999,9,-5.0000
"William B Hartsfield-Atlanta Intl",1999,12,-1.0000
"William B Hartsfield-Atlanta Intl",2000,1,-2.0000
"William B Hartsfield-Atlanta Intl",2000,2,-2.0000
"William B Hartsfield-Atlanta Intl",2000,3,33.5000
"William B Hartsfield-Atlanta Intl",2000,4,37.0000
"William B Hartsfield-Atlanta Intl",2000,5,3.0000
"William B Hartsfield-Atlanta Intl",2000,7,13.0000
"William B Hartsfield-Atlanta Intl",2000,10,3.5000
"William B Hartsfield-Atlanta Intl",2000,11,-7.0000
"William B Hartsfield-Atlanta Intl",2001,2,-12.0000
"William B Hartsfield-Atlanta Intl",2001,3,8.0000
"William B Hartsfield-Atlanta Intl",2001,5,-12.0000
"William B Hartsfield-Atlanta Intl",2001,6,1.0000
"William B Hartsfield-Atlanta Intl",2001,7,49.0000
"William B Hartsfield-Atlanta Intl",2002,4,29.0000
"William B Hartsfield-Atlanta Intl",2002,5,15.0000
"William B Hartsfield-Atlanta Intl",2002,7,12.0000
"William B Hartsfield-Atlanta Intl",2002,8,-3.0000
"William B Hartsfield-Atlanta Intl",2002,9,-3.0000
"William B Hartsfield-Atlanta Intl",2002,10,36.5000
"William B Hartsfield-Atlanta Intl",2002,12,-16.6667
"William B Hartsfield-Atlanta Intl",2003,1,-5.0000
"William B Hartsfield-Atlanta Intl",2003,2,-2.0000
"William B Hartsfield-Atlanta Intl",2003,3,25.3333
"William B Hartsfield-Atlanta Intl",2003,5,16.0000
"William B Hartsfield-Atlanta Intl",2003,6,-6.3333
"William B Hartsfield-Atlanta Intl",2003,7,18.5000
"William B Hartsfield-Atlanta Intl",2003,8,-1.0000
"William B Hartsfield-Atlanta Intl",2003,10,9.0000
"William B Hartsfield-Atlanta Intl",2004,1,4.0000
"William B Hartsfield-Atlanta Intl",2004,2,27.0000
"William B Hartsfield-Atlanta Intl",2004,3,8.0000
"William B Hartsfield-Atlanta Intl",2004,5,18.0000
"William B Hartsfield-Atlanta Intl",2004,6,38.0000
"William B Hartsfield-Atlanta Intl",2004,7,-5.0000
"William B Hartsfield-Atlanta Intl",2004,8,9.0000
"William B Hartsfield-Atlanta Intl",2004,10,52.0000
"William B Hartsfield-Atlanta Intl",2005,2,1.0000
"William B Hartsfield-Atlanta Intl",2005,3,50.5000
"William B Hartsfield-Atlanta Intl",2005,5,-2.2500
"William B Hartsfield-Atlanta Intl",2005,6,18.5000
"William B Hartsfield-Atlanta Intl",2005,7,2.3333
"William B Hartsfield-Atlanta Intl",2005,8,62.0000
"William B Hartsfield-Atlanta Intl",2005,9,-11.0000
"William B Hartsfield-Atlanta Intl",2005,10,2.5000
"William B Hartsfield-Atlanta Intl",2005,11,-2.0000
"William B Hartsfield-Atlanta Intl",2005,12,10.0000
"William B Hartsfield-Atlanta Intl",2006,2,41.0000
"William B Hartsfield-Atlanta Intl",2006,4,5.0000
"William B Hartsfield-Atlanta Intl",2006,5,16.0000
"William B Hartsfield-Atlanta Intl",2006,7,9.3333
"William B Hartsfield-Atlanta Intl",2006,8,15.6000
"William B Hartsfield-Atlanta Intl",2006,9,-5.0000
"William B Hartsfield-Atlanta Intl",2006,10,-6.0000
"William B Hartsfield-Atlanta Intl",2006,11,11.0000
"William B Hartsfield-Atlanta Intl",2006,12,-2.0000
"William B Hartsfield-Atlanta Intl",2007,1,25.5000
"William B Hartsfield-Atlanta Intl",2007,2,4.0000
"William B Hartsfield-Atlanta Intl",2007,3,42.0000
"William B Hartsfield-Atlanta Intl",2007,4,6.5000
"William B Hartsfield-Atlanta Intl",2007,5,11.0000
"William B Hartsfield-Atlanta Intl",2007,6,24.5000
"William B Hartsfield-Atlanta Intl",2007,7,1.0000
"William B Hartsfield-Atlanta Intl",2007,8,86.0000
"William B Hartsfield-Atlanta Intl",2007,9,41.0000
"William B Hartsfield-Atlanta Intl",2007,10,4.5000
"William B Hartsfield-Atlanta Intl",2007,11,33.0000
"William B Hartsfield-Atlanta Intl",2007,12,54.5000
"William B Hartsfield-Atlanta Intl",2008,1,-1.0000
"William B Hartsfield-Atlanta Intl",2008,2,-14.6667
"William B Hartsfield-Atlanta Intl",2008,3,0.3333
"William B Hartsfield-Atlanta Intl",2008,4,30.5000
"William B Hartsfield-Atlanta Intl",2008,5,1.6667
"William B Hartsfield-Atlanta Intl",2008,6,-2.0000
"William B Hartsfield-Atlanta Intl",2008,7,4.5000
"William B Hartsfield-Atlanta Intl",2008,8,7.0000
"William B Hartsfield-Atlanta Intl",2008,9,-6.0000
"William B Hartsfield-Atlanta Intl",2008,10,10.0000
"Outagamie County Regional",1988,2,2.0000
"Outagamie County Regional",2004,5,10.0000
"Outagamie County Regional",2008,5,-10.0000
"Austin-Bergstrom International",1990,4,13.0000
"Austin-Bergstrom International",1990,8,-3.0000
"Austin-Bergstrom International",1992,2,-9.0000
"Austin-Bergstrom International",1992,12,2.0000
"Austin-Bergstrom International",1993,1,-3.0000
"Austin-Bergstrom International",1993,6,0.0000
"Austin-Bergstrom International",1995,3,32.0000
"Austin-Bergstrom International",1995,7,-1.0000
"Austin-Bergstrom International",1997,3,6.0000
"Austin-Bergstrom International",1999,7,0.0000
"Austin-Bergstrom International",1999,9,-5.0000
"Austin-Bergstrom International",2000,8,-1.0000
"Austin-Bergstrom International",2002,10,-3.0000
"Austin-Bergstrom International",2003,2,-5.0000
"Austin-Bergstrom International",2004,11,-6.0000
"Austin-Bergstrom International",2005,10,-10.0000
"Austin-Bergstrom International",2006,4,25.0000
"Austin-Bergstrom International",2007,3,-9.0000
"Austin-Bergstrom International",2007,11,11.0000
"Austin-Bergstrom International",2008,1,1.0000
"Austin-Bergstrom International",2008,4,-0.5000
"Asheville Regional",1994,2,-12.0000
"Asheville Regional",1997,9,-1.0000
"Asheville Regional",2006,11,-10.0000
"Kalamazoo County",2003,12,-10.0000
"Bradley International",1988,5,-19.0000
"Bradley International",1988,6,-8.0000
"Bradley International",1988,11,1.0000
"Bradley International",1988,12,42.0000
"Bradley International",1993,8,-5.0000
"Bradley International",1994,4,-1.0000
"Bradley International",1997,6,-16.0000
"Bradley International",1998,5,38.0000
"Bradley International",1998,10,-36.0000
"Bradley International",1999,2,-25.0000
"Bradley International",2000,5,-30.0000
"Bradley International",2000,8,4.0000
"Bradley International",2001,8,-2.0000
"Bradley International",2001,11,-18.0000
"Bradley International",2001,12,11.0000
"Bradley International",2002,11,-8.0000
"Bradley International",2003,12,-14.0000
"Bradley International",2004,9,-3.0000
"Bradley International",2005,11,-15.0000
"Bradley International",2006,9,-4.0000
"Bradley International",2006,10,-9.0000
"Bradley International",2008,5,7.0000
"Bradley International",2008,12,8.0000
Bethel,1999,8,1.0000
"Meadows ",2007,10,-6.0000
"Bangor International",2004,1,45.0000
"Birmingham International",1988,1,51.0000
"Birmingham International",1988,2,-8.0000
"Birmingham International",1993,7,-7.0000
"Birmingham International",1994,11,9.0000
"Birmingham International",1995,8,4.0000
"Birmingham International",1995,12,30.0000
"Birmingham International",1996,10,73.0000
"Birmingham International",1997,10,-5.0000
"Birmingham International",1998,12,17.0000
"Birmingham International",1999,1,-4.0000
"Birmingham International",1999,7,-6.0000
"Birmingham International",1999,11,-12.0000
"Birmingham International",2000,1,-10.0000
"Birmingham International",2007,3,-11.0000
"Birmingham International",2008,12,-18.0000
"Billings Logan Intl",1988,3,26.0000
"Billings Logan Intl",1997,3,2.0000
"Bismarck Municipal",1989,1,11.0000
"Bismarck Municipal",1992,7,23.0000
"Nashville International",1988,5,-11.0000
"Nashville International",1989,2,11.0000
"Nashville International",1989,4,29.0000
"Nashville International",1989,7,-2.0000
"Nashville International",1990,1,1.0000
"Nashville International",1990,2,-5.0000
"Nashville International",1991,7,17.0000
"Nashville International",1993,3,4.0000
"Nashville International",1993,12,-9.0000
"Nashville International",1994,8,-11.0000
"Nashville International",1994,10,-6.0000
"Nashville International",1995,3,1.5000
"Nashville International",1995,7,-2.0000
"Nashville International",1995,12,-8.0000
"Nashville International",1996,12,10.0000
"Nashville International",1997,6,26.0000
"Nashville International",1997,7,34.0000
"Nashville International",1997,9,-15.0000
"Nashville International",1997,12,-7.0000
"Nashville International",1999,1,38.0000
"Nashville International",1999,6,5.0000
"Nashville International",1999,7,-10.0000
"Nashville International",2000,3,-15.0000
"Nashville International",2000,4,7.0000
"Nashville International",2000,7,-6.0000
"Nashville International",2000,8,39.0000
"Nashville International",2000,9,5.5000
"Nashville International",2000,10,108.0000
"Nashville International",2001,9,28.0000
"Nashville International",2003,3,-2.0000
"Nashville International",2003,8,-14.0000
"Nashville International",2004,2,9.0000
"Nashville International",2004,3,-11.0000
"Nashville International",2004,5,-5.0000
"Nashville International",2004,9,-13.0000
"Nashville International",2004,10,-5.0000
"Nashville International",2005,8,11.0000
"Nashville International",2006,5,-4.0000
"Nashville International",2006,8,-7.5000
"Nashville International",2006,10,-10.0000
"Nashville International",2007,9,-2.0000
"Nashville International",2008,3,39.0000
"Nashville International",2008,10,138.0000
"Nashville International",2008,12,-9.0000
"Boise Air Terminal",1989,4,-7.0000
"Boise Air Terminal",1989,5,10.0000
"Boise Air Terminal",1996,5,-4.0000
"Boise Air Terminal",1997,1,43.0000
"Boise Air Terminal",1997,10,0.0000
"Boise Air Terminal",2002,12,-10.0000
"Boise Air Terminal",2003,7,-8.0000
"Boise Air Terminal",2004,6,18.0000
"Boise Air Terminal",2007,10,-9.0000
"Gen Edw L Logan Intl",1987,10,-3.0000
"Gen Edw L Logan Intl",1987,11,8.0000
"Gen Edw L Logan Intl",1988,1,28.0000
"Gen Edw L Logan Intl",1988,7,5.0000
"Gen Edw L Logan Intl",1988,9,-10.0000
"Gen Edw L Logan Intl",1988,12,15.0000
"Gen Edw L Logan Intl",1989,4,8.0000
"Gen Edw L Logan Intl",1989,5,0.0000
"Gen Edw L Logan Intl",1989,6,-4.0000
"Gen Edw L Logan Intl",1989,12,22.0000
"Gen Edw L Logan Intl",1990,5,7.0000
"Gen Edw L Logan Intl",1990,6,-15.0000
"Gen Edw L Logan Intl",1991,2,11.0000
"Gen Edw L Logan Intl",1991,4,37.5000
"Gen Edw L Logan Intl",1991,8,-3.0000
"Gen Edw L Logan Intl",1991,9,1.0000
"Gen Edw L Logan Intl",1991,12,-17.0000
"Gen Edw L Logan Intl",1992,1,-11.0000
"Gen Edw L Logan Intl",1992,4,35.0000
"Gen Edw L Logan Intl",1992,5,8.5000
"Gen Edw L Logan Intl",1993,1,19.0000
"Gen Edw L Logan Intl",1993,4,21.0000
"Gen Edw L Logan Intl",1993,8,-3.0000
"Gen Edw L Logan Intl",1993,12,16.0000
"Gen Edw L Logan Intl",1994,3,3.0000
"Gen Edw L Logan Intl",1994,4,-16.0000
"Gen Edw L Logan Intl",1994,6,-3.0000
"Gen Edw L Logan Intl",1994,7,-3.0000
"Gen Edw L Logan Intl",1994,9,44.0000
"Gen Edw L Logan Intl",1994,11,-10.0000
"Gen Edw L Logan Intl",1995,2,-27.0000
"Gen Edw L Logan Intl",1995,3,4.0000
"Gen Edw L Logan Intl",1995,4,-22.0000
"Gen Edw L Logan Intl",1995,5,8.0000
"Gen Edw L Logan Intl",1995,10,2.0000
"Gen Edw L Logan Intl",1995,11,4.0000
"Gen Edw L Logan Intl",1995,12,-3.0000
"Gen Edw L Logan Intl",1996,2,-12.5000
"Gen Edw L Logan Intl",1996,3,13.0000
"Gen Edw L Logan Intl",1996,12,33.0000
"Gen Edw L Logan Intl",1997,4,-10.5000
"Gen Edw L Logan Intl",1997,5,12.0000
"Gen Edw L Logan Intl",1997,6,-4.0000
"Gen Edw L Logan Intl",1998,2,0.0000
"Gen Edw L Logan Intl",1998,4,0.0000
"Gen Edw L Logan Intl",1998,5,-9.0000
"Gen Edw L Logan Intl",1998,6,-9.0000
"Gen Edw L Logan Intl",1998,9,-5.0000
"Gen Edw L Logan Intl",1998,10,9.0000
"Gen Edw L Logan Intl",1999,1,1.0000
"Gen Edw L Logan Intl",1999,2,-16.0000
"Gen Edw L Logan Intl",1999,4,-15.0000
"Gen Edw L Logan Intl",1999,5,-26.0000
"Gen Edw L Logan Intl",1999,7,20.0000
"Gen Edw L Logan Intl",2000,7,13.0000
"Gen Edw L Logan Intl",2000,10,-2.0000
"Gen Edw L Logan Intl",2001,1,-40.0000
"Gen Edw L Logan Intl",2001,3,22.0000
"Gen Edw L Logan Intl",2001,4,-1.0000
"Gen Edw L Logan Intl",2001,6,16.0000
"Gen Edw L Logan Intl",2001,7,7.5000
"Gen Edw L Logan Intl",2001,9,-13.0000
"Gen Edw L Logan Intl",2002,3,59.0000
"Gen Edw L Logan Intl",2002,6,6.5000
"Gen Edw L Logan Intl",2003,1,-6.0000
"Gen Edw L Logan Intl",2003,11,-9.0000
"Gen Edw L Logan Intl",2004,2,-2.5000
"Gen Edw L Logan Intl",2004,11,-16.0000
"Gen Edw L Logan Intl",2004,12,103.0000
"Gen Edw L Logan Intl",2005,3,-5.0000
"Gen Edw L Logan Intl",2005,5,-9.0000
"Gen Edw L Logan Intl",2005,6,-23.0000
"Gen Edw L Logan Intl",2005,7,-20.0000
"Gen Edw L Logan Intl",2005,9,-8.0000
"Gen Edw L Logan Intl",2005,12,-4.0000
"Gen Edw L Logan Intl",2006,1,-3.0000
"Gen Edw L Logan Intl",2006,5,48.0000
"Gen Edw L Logan Intl",2006,6,17.0000
"Gen Edw L Logan Intl",2006,7,-26.0000
"Gen Edw L Logan Intl",2006,12,139.0000
"Gen Edw L Logan Intl",2007,3,18.0000
"Gen Edw L Logan Intl",2007,10,-0.5000
"Gen Edw L Logan Intl",2007,11,-13.0000
"Gen Edw L Logan Intl",2007,12,-20.0000
"Gen Edw L Logan Intl",2008,7,217.0000
"Gen Edw L Logan Intl",2008,8,2.0000
"Gen Edw L Logan Intl",2008,10,-14.0000
"Gen Edw L Logan Intl",2008,11,-30.0000
"Gen Edw L Logan Intl",2008,12,15.0000
"Baton Rouge Metropolitan, Ryan ",1988,7,1.0000
"Baton Rouge Metropolitan, Ryan ",1990,2,16.0000
"Baton Rouge Metropolitan, Ryan ",1991,5,-13.0000
"Baton Rouge Metropolitan, Ryan ",1995,1,13.0000
"Baton Rouge Metropolitan, Ryan ",1995,12,6.0000
"Baton Rouge Metropolitan, Ryan ",2005,10,23.0000
"Burlington International",1987,10,0.0000
"Burlington International",1988,3,-3.0000
"Burlington International",1996,10,-5.0000
"Burlington International",1996,11,-24.0000
"Burlington International",1998,8,-6.0000
"Burlington International",2003,9,-17.0000
"Burlington International",2006,3,-25.0000
"Burlington International",2007,5,-14.0000
"Burlington International",2008,3,-9.0000
"Buffalo Niagara Intl",1988,9,7.0000
"Buffalo Niagara Intl",1989,9,-13.0000
"Buffalo Niagara Intl",1990,11,-8.0000
"Buffalo Niagara Intl",1990,12,2.0000
"Buffalo Niagara Intl",1991,7,-28.0000
"Buffalo Niagara Intl",1991,10,-8.5000
"Buffalo Niagara Intl",1992,7,-1.0000
"Buffalo Niagara Intl",1993,5,-1.0000
"Buffalo Niagara Intl",1997,8,1.0000
"Buffalo Niagara Intl",1997,12,-10.0000
"Buffalo Niagara Intl",1998,4,-2.0000
"Buffalo Niagara Intl",1998,11,13.0000
"Buffalo Niagara Intl",2000,8,16.0000
"Buffalo Niagara Intl",2003,11,-5.0000
"Buffalo Niagara Intl",2003,12,-15.0000
"Buffalo Niagara Intl",2005,5,16.0000
"Buffalo Niagara Intl",2005,7,5.0000
"Buffalo Niagara Intl",2006,11,119.0000
"Buffalo Niagara Intl",2007,1,-5.0000
"Buffalo Niagara Intl",2007,4,-29.0000
"Buffalo Niagara Intl",2008,9,-8.0000
Burbank-Glendale-Pasadena,1987,12,0.0000
Burbank-Glendale-Pasadena,1988,8,4.0000
Burbank-Glendale-Pasadena,1988,10,21.0000
Burbank-Glendale-Pasadena,1989,2,10.0000
Burbank-Glendale-Pasadena,1990,1,40.0000
Burbank-Glendale-Pasadena,1990,7,-1.0000
Burbank-Glendale-Pasadena,1991,6,-10.0000
Burbank-Glendale-Pasadena,1991,9,-3.0000
Burbank-Glendale-Pasadena,1992,4,-5.0000
Burbank-Glendale-Pasadena,1994,5,15.0000
Burbank-Glendale-Pasadena,1994,6,-7.0000
Burbank-Glendale-Pasadena,1994,12,-1.0000
Burbank-Glendale-Pasadena,1995,7,-6.0000
Burbank-Glendale-Pasadena,1999,6,10.0000
Burbank-Glendale-Pasadena,2000,6,12.0000
Burbank-Glendale-Pasadena,2003,12,45.0000
Burbank-Glendale-Pasadena,2004,6,39.0000
Burbank-Glendale-Pasadena,2005,7,28.5000
Burbank-Glendale-Pasadena,2006,1,-5.0000
Burbank-Glendale-Pasadena,2006,7,-7.0000
Burbank-Glendale-Pasadena,2007,6,-7.0000
